id,state,name,address_line1,address_line2,city,district,pin_code
3237,Tamil Nadu,VAANI TEACHER TRAINING INSTITUTE VAMYAMBADI,INDIRA NAGAR CHETTIYAPPANUR POST,VANIYAMBADI,VELLORE,Vellore,635751
3238,Tamil Nadu,"VADAMALAYAN INSTITUTE OF MEDICAL AND ALLIED HEALTH SCIENCES (Inst. Code - 444), MADURAI",0,0,0,Madurai,625002
3239,Tamil Nadu,Vadaranyam College of Education,"No.1/190, Adigathur Road,","Kadambathur, Thiruvallur Taluk and District",Thiruvallur,Thiruvallur,631203
3240,Tamil Nadu,VADARANYAM TEACHER TRAINING INSTITUTE TIRUVALLUR,"1/190,adigathur road,kadambhatur,tiruvallur",NA,NA,Thiruvallur,631203
3241,Tamil Nadu,VAIGAI COLLEGE OF ENGINEERING,"Therkutheru Post, Madurai 625122",NA,Madurai,Madurai,625122
3242,Tamil Nadu,"VAIGARAI NURSING & HEALTH SCIENCE COLLEGE (Inst. Code - 557), THIRUVAIYARU",No:23 BRAMANAR METTU STREET THIRUVAIYARU,NA,THANJAVUR,Thanjavur,613204
3243,Tamil Nadu,VAIRAMANI RAMASASMY POLYTECHNIC COLLEGE THAMBIKKOTTAI,THAMBIKKOTTAI VADAKADU 614 704,PATTUKKOTTAI TK - THANJAVUR DIST,PATTUKKOTTAI,Thanjavur,614704
3244,Tamil Nadu,VALIVALAM DESIKAR INSTITUTE OF TEACHER TRAINING SOUTH PALPANNAICHERRY,SOUTH PALLPANAICHERRY,NAGAPATTINAM,NAGAPATTINAM,Nagapattinam,610001
3245,Tamil Nadu,VALIVALAM DESIKAR POLYTECHNIC COLLEGE NAGAPATTINAM,"NAGORE MAIN ROAD, COLLECTORATE POST,","SOUTH PALPANNAICHERY,",NAGAPATTINAM 611 003,Nagapattinam,611003
3246,Tamil Nadu,"Vallalar Arts & Science College,Neyveli Main Road,Vadalur-607 303",NEYVELI MAIN ROAD,VADALUR-607303,CUDDALORE,Cuddalore,607303
3247,Tamil Nadu,VALLALAR TEACHER TRAINING INSTITUTE GUDIYATTAM,PEERAN NAGAR,NA,GUDIYATTAM - 632602.,Vellore,632602
3248,Tamil Nadu,"Valliammai College of Arts & Science ,Villupuram Main Road,Vadakarai Thazhanoor,tirukoilur-605 752","villupuram main road,","near Arakandanallur, tirukovillur taluk.",villupuram,Viluppuram,605752
3249,Tamil Nadu,Valliammai Engineering College,"SRM Nagar, Kattankulathur",Potheri Village,Chennai,Kancheepuram,603203
3250,Tamil Nadu,VALLIAMMAI POLYTECHNIC COLLEGE KATTANKULATHUR,"SRM NAGAR,POTHERI",KATTANKULATHUR,KATTANKULATHUR,Kancheepuram,603203
3251,Tamil Nadu,VALLIAMMAIYAR HINDU TEACHER TRAINING INSTITUTE FOR WOMEN KULASHEKARAPATNAM,No - 23 EAST STREET,KULASEKARAPATTINAM,TIRUCHENDUR TALUK,Thoothukkudi,628206
3252,Tamil Nadu,"Valluvar College of Science and Management, Kodaiyur, Aravakurichi Taluk, Karur - 639 003","New Madurai Bye-Pass Road,","Puthambur(Post),",Karur,Karur,639003
3253,Tamil Nadu,"VANAVARAYAR INSTITUTE OF AGRICULTURE, COIMBATORE",Diwansapudur(post),Manakkadavu,Pollachi,Coimbatore,642103
